,words,attribution
38,anti,0.0359322282770207
340,##vers,0.027825374792016366
84,under,0.026307557744385975
339,ad,0.015472474391278452
341,##aria,0.014926741075793918
40,##ror,0.01301858056121133
24,top,0.009549818309866462
491,hearted,0.007139681976573744
86,##ue,0.0056380816150258415
432,manhattan,0.005479884822312482
32,viewed,0.00508596754963939
619,contributed,0.004953347016185089
201,clemens,0.004082766275073145
514,loyal,0.003959004592150489
39,##ter,0.003873310877745266
224,yankees,0.0032196754160335665
271,korea,0.0031356664422998535
278,now,0.0027714267600245897
477,##vis,0.002757206730624741
25,##ple,0.0027320849821958846
651,##uno,0.002646831581134035
707,fencing,0.0026018907269792905
322,summer,0.002596051102177199
599,-,0.0025530786632222075
584,-,0.0025530786632222075
596,-,0.0025530786632222075
577,-,0.0025530786632222075
564,-,0.0025530786632222075
587,-,0.0025530786632222075
608,-,0.0025530786632222075
611,-,0.0025530786632222075
580,-,0.0025530786632222075
187,assembly,0.002545296990737025
565,out,0.002539786184935188
530,coup,0.0025154973560325778
529,2002,0.0024621695960385134
607,##ick,0.0024232353975937888
148,political,0.002416278954319723
654,russia,0.002367315678382826
207,.,0.0023018352964704284
231,.,0.0023018352964704284
193,.,0.0022599324409972054
128,blog,0.002249908860610497
129,##ging,0.002213473423666144
318,scene,0.002204521414110954
192,nurse,0.0021881554735339375
281,##el,0.0021331212521570452
149,consultants,0.0021100894616393117
371,covered,0.002101815683000479
434,he,0.0020658388931217063
618,has,0.0019880881777898057
506,mr,0.0019810112803861457
305,there,0.001923536869529319
348,beach,0.0019110616631823271
347,cyprus,0.0019054830559496543
309,united,0.0019039142626007515
498,critics,0.0018923752025337933
282,##phi,0.001889376404436386
205,his,0.0018845383028615276
735,assert,0.001883450241143227
475,res,0.0018701587086271943
324,was,0.001853573025609419
464,statistical,0.0018246320259189437
559,the,0.0017867726356231804
591,the,0.0017867726356231804
613,the,0.0017867726356231804
153,raise,0.0017392589966383704
659,been,0.0016432971015883085
183,county,0.0015985257772653861
320,this,0.0015557027633282797
649,tu,0.0015447787676716345
311,peacekeeping,0.001517035774374665
14,creating,0.001489113386021673
516,him,0.0014842141398415292
58,city,0.0014741825746378396
507,.,0.0014699464304549399
736,##ive,0.0014695631258251243
593,couple,0.0014490544818940368
504,way,0.0014396049927810147
423,its,0.0014380188351562078
489,light,0.0013778685294256322
256,had,0.0013458955618756796
91,touching,0.0013458164660705488
519,regular,0.0013054307923379992
26,saddam,0.0012848540730669108
33,as,0.001249039539358953
27,hussein,0.001247354945361757
419,trading,0.0012410711348788846
136,noteworthy,0.0012295829337249005
2,members,0.001226539644385072
605,bro,0.00121368275655867
743,capable,0.0011777009902037778
402,.,0.0011644952458474665
433,.,0.0011644952458474665
353,##os,0.0011635200756449095
783,score,0.0011592063592774661
252,2001,0.001154801880195297
652,##v,0.0011443020212346144
142,wave,0.0011427299003269958
416,commodities,0.0011036849301432963
501,program,0.0010992740899615793
218,boston,0.001090272897745549
16,generic,0.0010813184500197829
102,##ell,0.0010794694081959918
779,northern,0.0010718907947480272
36,the,0.001055613337487474
10,the,0.001055613337487474
21,the,0.001055613337487474
163,workers,0.0010474980598653347
710,a,0.0010131094855808456
9,accused,0.0010037451385455185
721,china,0.0009943309913700515
536,browns,0.0009941178119077132
234,israel,0.000981554489225995
623,.,0.0009700036059858666
663,.,0.0009700036059858666
452,not,0.0009569710035121918
606,##der,0.0009378054956585679
563,sold,0.0009365966212396072
255,positions,0.0009247839011783639
96,mil,0.0009240943621659322
554,quarries,0.000921166378207282
132,jerome,0.0009062074560413064
777,countries,0.0009033842766349138
754,countries,0.0009033842766349138
438,gap,0.0009028967800844189
29,iraq,0.000897430646643629
260,produced,0.000877463236548903
522,parts,0.0008454892288259367
410,##co,0.0008387998464756813
458,united,0.0008305461212910238
5,",",0.0008240925064744566
8,",",0.0008240925064744566
257,reversed,0.0008106967972858221
449,it,0.000805457288100482
122,2008,0.0007949771503231232
617,tickets,0.0007858344288840294
291,colleges,0.0007856444879865679
444,widening,0.0007838108893719634
15,one,0.0007570530662123064
154,##rs,0.0007325989757242498
664,on,0.0007221377517171709
335,to,0.0007180190757669979
214,28,0.0007106290611890966
147,of,0.0007077681416445953
