,words,attribution
38,anti,0.03593220760872143
340,##vers,0.027825366734294667
84,under,0.026307178028145438
339,ad,0.015472460177438769
341,##aria,0.014926743077352995
40,##ror,0.013018572944589033
24,top,0.009549889955607462
491,hearted,0.007139695163507725
86,##ue,0.005638157222706956
432,manhattan,0.005479904912418295
32,viewed,0.005084987762535794
619,contributed,0.004953306748066767
201,clemens,0.004082746820415526
514,loyal,0.003958894919764979
39,##ter,0.0038733858202026996
224,yankees,0.00321968288492433
271,korea,0.003135600392248055
278,now,0.002771457785583799
477,##vis,0.002757210959524454
25,##ple,0.0027321950725589755
651,##uno,0.0026468512596062852
707,fencing,0.002601953617310742
322,summer,0.0025960456262034423
599,-,0.002553118863762138
584,-,0.002553118863762138
596,-,0.002553118863762138
577,-,0.002553118863762138
564,-,0.002553118863762138
587,-,0.002553118863762138
608,-,0.002553118863762138
611,-,0.002553118863762138
580,-,0.002553118863762138
187,assembly,0.002544826469254738
565,out,0.0025396981410356397
530,coup,0.002515517324792491
529,2002,0.0024621746688112214
607,##ick,0.0024232357673840445
148,political,0.00241629291104217
654,russia,0.002367203583912406
207,.,0.002301918332297179
231,.,0.002301918332297179
193,.,0.002259549221423656
128,blog,0.0022499290034688198
129,##ging,0.0022134853451862484
318,scene,0.0022045376481410026
192,nurse,0.0021882018613894895
281,##el,0.00213315385243176
149,consultants,0.0021100984763854865
371,covered,0.0021017286017133057
434,he,0.0020657937428361453
618,has,0.0019881055024254246
506,mr,0.00198104332381125
305,there,0.0019232928002285623
348,beach,0.0019110355742906265
347,cyprus,0.0019055203832377716
309,united,0.0019037247440156157
498,critics,0.001892371184772466
282,##phi,0.0018893833763259148
205,his,0.0018846187921908013
735,assert,0.0018834516442291617
475,res,0.0018701592143472805
324,was,0.0018535688585316172
464,statistical,0.0018250382969212024
559,the,0.0017873244532304177
591,the,0.0017873244532304177
613,the,0.0017873244532304177
153,raise,0.001739222239363455
659,been,0.0016425195596464208
183,county,0.0015989418671248053
320,this,0.0015557030844194515
649,tu,0.0015448042617680693
311,peacekeeping,0.0015169579297829446
14,creating,0.0014889695139389922
516,him,0.0014841456371998346
58,city,0.0014741564413996069
507,.,0.0014700070661852619
736,##ive,0.001469570909036196
593,couple,0.0014491083367051461
504,way,0.0014396325466881047
423,its,0.001438005205842171
489,light,0.0013778729343125792
91,touching,0.0013459301588294966
256,had,0.0013459295424109907
519,regular,0.001305435053558788
26,saddam,0.001284877675704901
33,as,0.0012488980108838743
27,hussein,0.0012472477747953723
419,trading,0.0012410737704023052
136,noteworthy,0.0012296238069664281
2,members,0.0012264851291503612
605,bro,0.0012136914711498227
743,capable,0.0011777225089062609
433,.,0.0011644960299082591
402,.,0.0011644960299082591
353,##os,0.0011635183693513335
783,score,0.0011592214862253469
252,2001,0.0011542765367340392
652,##v,0.0011443351610975732
142,wave,0.001142701598941087
416,commodities,0.001103690267011112
501,program,0.0010992695074929087
218,boston,0.0010902916300248903
16,generic,0.0010812615530852345
102,##ell,0.001079808082836788
779,northern,0.0010719070326833781
21,the,0.001055567272167907
36,the,0.001055567272167907
10,the,0.001055567272167907
163,workers,0.001047669681732123
710,a,0.0010131578414241632
9,accused,0.0010038230076545968
721,china,0.0009943399907440516
536,browns,0.0009941263739717764
234,israel,0.000981538030469468
623,.,0.0009701539171530825
663,.,0.0009701539171530825
452,not,0.0009567567857539579
606,##der,0.0009377815749233331
563,sold,0.000936040030234205
255,positions,0.0009252232878439947
96,mil,0.0009240684038587347
554,quarries,0.0009211797625461887
132,jerome,0.0009062463311228211
777,countries,0.0009033897484036344
754,countries,0.0009033897484036344
438,gap,0.0009028968907098487
29,iraq,0.00089803379234632
260,produced,0.0008774691314282772
522,parts,0.0008454694455526441
410,##co,0.0008388019619203294
458,united,0.000830547256913136
5,",",0.0008240318281928704
8,",",0.0008240318281928704
257,reversed,0.0008105440367066207
449,it,0.0008054807246852266
122,2008,0.0007949956167650172
617,tickets,0.0007858111061705156
291,colleges,0.0007857959407280301
444,widening,0.0007837508288243524
15,one,0.0007569266575629773
154,##rs,0.0007326452294196783
664,on,0.0007221007716193087
335,to,0.0007181096675198115
214,28,0.000710627728060112
147,of,0.0007077451640930055
143,of,0.0007077451640930055
114,of,0.0007077451640930055
319,of,0.0006827685177392445
350,of,0.0006827685177392445
574,rain,0.0006746263515343398
374,charles,0.0006722644152534734
73,bassist,0.0006716498178300601
669,architects,0.0006662204768558937
568,like,0.000664721156236515
135,a,0.0006483263548950298
127,a,0.0006483263548950298
120,a,0.0006483263548950298
469,bank,0.0006320387670613458
703,decision,0.00060580279137812
750,measures,0.0006052015414235286
639,to,0.0006044866342379615
633,to,0.0006044866342379615
6,in,0.000599798851111578
