,words,attribution
462,##reate,0.05832492526133441
650,industrial,0.034748252224577204
575,beg,0.024747473180128602
87,sick,0.02418759133956379
651,##ized,0.018831853888319573
621,terrorism,0.0180757380513045
461,mist,0.016569556024202604
50,chilling,0.013886351481555474
236,##cea,0.012291648855296709
576,##gar,0.011090962072408983
260,no,0.011018705946664296
823,##tered,0.010816255232805456
167,.,0.00960233693474472
261,##a,0.009551984020530509
405,cathy,0.008271686828237318
550,emptiness,0.007083233521062352
341,glendale,0.0069443842747469505
655,may,0.005553064475845418
646,populous,0.005402160275214728
263,sharon,0.005338141413357713
585,guys,0.004867450854325285
786,##cre,0.004804890038550448
234,pre,0.004739295980714461
572,wife,0.00467402105810351
706,illegal,0.004573280707353713
137,europe,0.0045652367947542
229,germany,0.00445295400362518
549,terrible,0.004367192230279856
577,.,0.004251758358397829
237,##sed,0.004220523461897887
558,did,0.003818228911855561
51,drama,0.0036915556906086232
446,criticizing,0.0036712526512627055
625,.,0.003543051116745649
504,berkeley,0.003419835671213168
49,this,0.0032213698148517633
809,presence,0.0031937411933593493
346,.,0.0031473119917588633
338,.,0.0031473119917588633
345,.,0.0031473119917588633
856,hockey,0.0031181452004761154
618,foremost,0.0031020064003149214
559,not,0.0030907584633082168
125,diplomat,0.002958497798080736
58,i,0.0028522303255821965
291,##rb,0.0028024537591148694
278,##rb,0.0028024537591148694
266,##rb,0.0028024537591148694
707,entry,0.0027851152895203954
624,asia,0.0027576295550750694
789,colorado,0.0026850472982213754
822,spat,0.00255489318412668
143,was,0.0025270128059681272
219,defender,0.002511450081494712
842,jeep,0.0024858033096426596
437,mr,0.002443230730221105
464,mr,0.002443230730221105
529,dissatisfaction,0.0024083654172626515
848,",",0.002385640919459186
818,",",0.002385640919459186
858,",",0.002385640919459186
834,",",0.002385640919459186
255,devoted,0.002380078064868765
630,parties,0.002352148212001964
867,arena,0.002350471241180946
71,said,0.002341684594816841
161,job,0.0022733313695688187
448,detention,0.0022600113734976804
567,was,0.00224486811093855
29,car,0.002237976095746682
235,##de,0.002181773090336287
55,burning,0.0021584138475998355
233,jens,0.0021436850484068855
781,texas,0.0020482885066355964
245,ren,0.002017122454905463
68,",",0.002013429019613157
56,",",0.002013429019613157
77,",",0.002013429019613157
597,said,0.0019755081084063936
114,the,0.0019320723360864882
192,france,0.0019319782426287242
670,;,0.0018873234937773705
675,;,0.0018873234937773705
450,demanding,0.0018785823542887727
197,th,0.001828609779307494
638,rhine,0.0018175887458884168
817,corps,0.001755614160222999
82,noted,0.0017327336475395142
584,these,0.0017134590284886499
196,##ian,0.0016802302705463373
857,fans,0.001674934959136728
155,had,0.0016356306415062786
458,he,0.0016100130976610312
62,t,0.0015587586506609248
463,##d,0.0015497482049479576
243,years,0.0015242044942589661
722,passed,0.0015057653643944565
183,regime,0.0015012154618695404
777,.,0.001497540745777734
783,.,0.001497540745777734
748,.,0.001497540745777734
754,.,0.001497540745777734
741,.,0.001497540745777734
768,.,0.001497540745777734
761,.,0.001497540745777734
64,it,0.0014900242665560727
574,a,0.0014888800405686217
456,soldiers,0.001469651814122701
400,y,0.0014578029312357329
146,his,0.00145580683324594
72,mrs,0.0014522314212233095
39,##ni,0.0014274405763815157
53,iraq,0.0014117407399066087
612,jakarta,0.0013866855069974919
443,a,0.0013841680538345888
67,burn,0.0013620471052305046
248,strauss,0.001357102736020261
847,street,0.0013501463669938127
59,ca,0.0013496083904443496
399,.,0.0013302673929284298
392,.,0.0013302673929284298
359,.,0.0013302673929284298
367,.,0.0013302673929284298
401,.,0.0013302673929284298
404,.,0.0013302673929284298
387,.,0.0013302673929284298
383,.,0.0013302673929284298
398,n,0.0013246683389464223
26,ohio,0.00130047114043915
496,started,0.001278782572610014
247,cale,0.0012695401907385278
815,the,0.0012545275102138788
841,the,0.0012545275102138788
846,the,0.0012545275102138788
819,the,0.0012545275102138788
837,momentarily,0.0012491284330004293
588,think,0.0012026447541117406
521,.,0.0011949918492510712
508,.,0.0011949918492510712
566,life,0.001165033018682596
836,had,0.0011551505866177257
532,lot,0.0011501124555515724
156,moved,0.0011500356686869675
700,our,0.0011494760356800143
286,and,0.0011438484363742402
865,joe,0.0011353347723050333
127,stepped,0.001132377755182223
546,expose,0.0011107587546804764
860,for,0.0011013231826456575
164,intended,0.0010671144457469438
797,it,0.0010523409568888745
724,measure,0.0010410649417191891
296,##b,0.001024292681969391
284,##b,0.001024292681969391
271,##b,0.001024292681969391
259,",",0.0010148725072407678
262,",",0.0010148725072407678
249,",",0.0010148725072407678
244,",",0.0010148725072407678
273,",",0.0010148725072407678
832,police,0.0010139245665222601
395,scars,0.001003222077245711
108,avenue,0.0009992361927810907
838,stopped,0.0009732198489108086
287,adi,0.0009728581666101447
686,built,0.0009608137203562604
451,that,0.0009601713973928641
633,off,0.0009529636716189496
637,north,0.0009433930533555792
694,this,0.0009279102874333104
9,college,0.0009194919159689072
514,less,0.0009193061312553532
794,being,0.0009086329773621018
242,45,0.0008935310581401153
541,years,0.0008747646754880523
444,statement,0.0008738216191243482
162,",",0.0008701791853550805
148,",",0.0008701791853550805
536,it,0.0008550895423151541
511,site,0.0008271958183698311
703,crack,0.0008158600020503953
465,.,0.0008110118565746228
