,words,attribution
334,frustration,0.054886209886912174
767,bad,0.05126194017439498
769,mouth,0.040755584260261365
332,##rro,0.02928250495539359
599,pu,0.0281680907260849
562,ruthless,0.018620126726562283
519,expansion,0.016702159054258835
600,##mmel,0.016546329204196616
350,satire,0.016002542536658663
331,co,0.01236889074910554
578,minister,0.01203859185483401
397,combat,0.011624160595333565
784,madness,0.010512181311748171
827,##ric,0.010258703220963854
563,businessman,0.009619067085013203
799,pr,0.009541579809252191
218,##mler,0.00778547768099439
72,argentina,0.007312736030362814
263,accusing,0.00635726785605999
441,ill,0.006357179276947364
800,##ag,0.006256363469586236
488,apartment,0.006045143546463314
89,##b,0.005928530568794693
103,##b,0.005928530568794693
75,##b,0.005928530568794693
913,spicy,0.005456589537271119
528,mentally,0.0050708287704530255
340,so,0.00464106359643874
328,jealous,0.004625137057313769
615,in,0.004502743249960233
406,##ished,0.004495117851153859
898,my,0.004485933622810676
830,##sts,0.004386731583326865
333,##sive,0.004315109704708554
826,ag,0.0042766399874377085
443,hired,0.003806399868836555
592,shivering,0.0036626285550377825
775,opportunity,0.003619806163688171
100,italy,0.0036126037023892655
844,at,0.0035943157233877068
618,city,0.0033300995781903446
434,illinois,0.0032938790483705233
266,stealing,0.0032830303956429122
41,##ler,0.003086533890059134
108,##sen,0.003037204994614942
832,coveted,0.002910534313996877
193,his,0.0029009182063307547
181,his,0.0029009182063307547
479,co,0.002877391598360849
339,is,0.0028591820182159913
696,his,0.00285359621648613
343,it,0.002732370541854147
520,##ist,0.0026024174943403513
801,##matic,0.0025359079286616797
774,every,0.002533670227780567
582,eastern,0.002494695941297807
169,broker,0.002473282239206345
168,power,0.002319781109774175
583,country,0.002310973368949409
715,##ind,0.0022907595808088306
905,i,0.0022666997865960466
438,2003,0.0022660910669438867
118,a,0.0022567247060136255
440,the,0.0022188921114020747
271,million,0.002208000596019633
779,at,0.0022079142943868825
773,at,0.0022079142943868825
324,pet,0.0022008913682464494
534,integration,0.0021490892423760826
